GlobalID	registeringsdato	klokkeslett_start	ano_flate_id	ano_punkt_id	ssb_id	program	instruks	aar	dataansvarlig_mdir	dataeier	vaer	hovedoekosystem_punkt	andel_hovedoekosystem_punkt	utilgjengelig_punkt	utilgjengelig_begrunnelse	gps	noeyaktighet	kommentar_posisjon	klokkeslett_karplanter_start	art_alle_registrert	karplanter_dekning	klokkeslett_karplanter_slutt	karplanter_feltsjikt	moser_dekning	torvmoser_dekning	lav_dekning	stroe_dekning	jord_grus_stein_berg_dekning	stubber_kvister_dekning	alger_fjell_dekning	kommentar_ruteanalyse	fastmerker	kommentar_fastmerker	kartleggingsenhet_1m2	hovedtype_1m2	ke_beskrivelse_1m2	kartleggingsenhet_250m2	hovedtype_250m2	ke_beskrivelse_250m2	andel_kartleggingsenhet_250m2	groeftingsintensitet	bruksintensitet	beitetrykk	slatteintensitet	tungekjoretoy	slitasje	forekomst_ntyp	ntyp	kommentar_naturtyperegistering	side_5_note	krypende_vier_dekning	ikke_krypende_vier_dekning	vedplanter_total_dekning	busker_dekning	tresjikt_dekning	treslag_registrert	roesslyng_dekning	roesslyngblad	pa_dekning	pa_note	pa_registrert	fa_total_dekning	fa_registrert	kommentar_250m2_flate	klokkeslett_slutt	vedlegg_url	creator	creationdate	editor	editdate	hovedtype_rute	Light1	Light2	Moist1	Moist2	pH1	pH2	Nitrogen1	Nitrogen2
{36BAE83E-F412-4C90-8B56-DE6B4225BB17}	2019-08-16 11:59:59	13:19	ANO0003	ANO0003_35	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	overskyet	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	85.1	NA	NA	20	20	0	60	NA	NA	NA	NA	NA	NA	V1-C-5	Åpen jordvannsmyr	svært og temmelig kalkfattige myrkanter	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	en del gjengroing med bjørk og einer, noen store furuer	NA	0	1	30	12	15	NA	NA	NA	NA	NA	NA	0	NA	litt nakent berg 	13:33	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/36bae83e-f412-4c90-8b56-de6b4225bb17	chrpot_miljodirektoratet	2019-09-09 10:54:17	chrpot_miljodirektoratet	2019-09-09 10:54:17	V1	NA	0.988082056098682	NA	0.507325139313115	0.513017016457394	NA	NA	0.691985560777879
{662B047A-411B-42F1-8F2F-E24602CBF350}	2019-08-16 11:59:59	15:38	ANO0003	ANO0003_44	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	sol	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	81	NA	NA	5	0	0	45	NA	NA	NA	NA	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	NA	NA	0	0	7	1	3	NA	NA	NA	NA	NA	NA	0	NA	NA	15:45	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/662b047a-411b-42f1-8f2f-e24602cbf350	chrpot_miljodirektoratet	2019-09-09 10:56:19	chrpot_miljodirektoratet	2019-09-09 10:56:19	V1	0.555735105401229	NA	NA	0.978331546564671	0.999279967384856	NA	NA	0.571819645732689
{F003E630-94CD-4FFF-839B-772299BF697A}	2019-08-16 11:59:59	15:07	ANO0003	ANO0003_64	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	sol	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	79	NA	NA	85	75	0	15	NA	NA	NA	NA	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	40% bærlyngskog T4C5, rute i overgang mellom myr og skog	NA	0	0	45	12	8	NA	NA	NA	NA	NA	NA	0	NA	NA	15:17	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/f003e630-94cd-4fff-839b-772299bf697a	chrpot_miljodirektoratet	2019-09-09 10:57:21	chrpot_miljodirektoratet	2019-09-09 10:57:21	V1	0.55061901697406	NA	0.548480214640083	NA	NA	0.862248620444345	NA	0.579658778205834
{F8239C33-99BD-4EEE-85A9-04A10772858D}	2019-08-16 11:59:59	13:58	ANO0003	ANO0003_55	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	sol	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	51.1	NA	NA	80	60	0	75	NA	NA	NA	har noen arter som er i V1C2 men bare veldig lokalt	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	noen store furuer, litt bjørk	NA	0	3	17	8	12	NA	NA	NA	NA	NA	NA	0	NA	NA	14:12	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/f8239c33-99bd-4eee-85a9-04a10772858d	chrpot_miljodirektoratet	2019-09-09 10:58:29	chrpot_miljodirektoratet	2019-09-09 10:58:29	V1	NA	0.970261144157997	NA	0.778514536814226	NA	0.474307405748238	NA	0.548461669361014
{95E184F4-9560-4ADC-A7A9-75AD9A97D654}	2019-08-16 11:59:59	12:06	ANO0003	ANO0003_15	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	sol	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	71	NA	NA	80	80	0	23	NA	NA	NA	NA	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	delvis myr, ganske mye lyng, virker som det gror igjen med bjørk, einer og furu	NA	0	0	53	13	8	NA	NA	NA	NA	NA	NA	0	NA	en bekk går gjennom flaten	12:19	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/95e184f4-9560-4adc-a7a9-75ad9a97d654	chrpot_miljodirektoratet	2019-09-09 10:59:26	chrpot_miljodirektoratet	2019-09-09 10:59:26	V1	0.599852360887626	NA	0.524627356281631	NA	0.831103629394705	NA	NA	0.727061929917483
{6C11D423-9559-4C61-9036-C1309E0C6328}	2019-08-15 11:59:59	15:43	ANO0003	ANO0003_51	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	nedbør	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	11.3	NA	NA	85	85	0	1	NA	NA	NA	NA	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	rute ligger i en streng i fattigmyr	NA	0	0	5	2	0	NA	NA	NA	NA	NA	NA	0	NA	NA	15:50	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/6c11d423-9559-4c61-9036-c1309e0c6328	chrpot_miljodirektoratet	2019-09-09 10:59:58	chrpot_miljodirektoratet	2019-09-09 10:59:58	V1	0.977132969513093	NA	NA	0.905602466576927	NA	0.780306104269792	NA	0.942296984031635
{D331E117-DACA-4750-A198-028D1356340B}	2019-08-15 11:59:59	15:11	ANO0003	ANO0003_31	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	nedbør	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	96.1	NA	NA	12	10	2	5	NA	NA	NA	NA	NA	NA	V3-C-1	Nedbørsmyr	ombrotrofe myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	ca. 40% V1C1; ser ut som myren er i overgang mellom V1 og V3, dragene er fattigmyr, mens tuene er nedbørsmyr, derfor ingen NNF fordig bare flekkvis nedbørsmyr	NA	0	0	30	12	0	NA	NA	NA	NA	NA	NA	0	NA	NA	15:21	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/d331e117-daca-4750-a198-028d1356340b	chrpot_miljodirektoratet	2019-09-09 11:00:41	chrpot_miljodirektoratet	2019-09-09 11:00:41	V3	0.601861813753781	NA	0.676363476715055	NA	0.456189802289282	NA	0.976893198919719	NA
{E9C62BB1-E07C-468E-ADF0-6653DC0D71F0}	2019-08-16 11:59:59	15:54	ANO0003	ANO0003_33	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	overskyet	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	68.1	NA	NA	6	0	0	95	NA	NA	NA	NA	NA	NA	V1-C-5	Åpen jordvannsmyr	svært og temmelig kalkfattige myrkanter	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	Vanskelig å si naturtype. Er mer enn 10% tresjikt og endel stein. Men passer ikke inn i skogdefinisjonen. Blåtopp dominerer med flekker av røsslyng. Er også litt v1c1 i sørvestre del.	NA	0	0	5	4	50	NA	NA	NA	NA	NA	NA	0	NA	Einer og furu i busksjiktet	16:04	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/e9c62bb1-e07c-468e-adf0-6653dc0d71f0	linvas_miljodirektoratet	2019-10-20 14:35:09	linvas_miljodirektoratet	2019-10-20 14:35:09	V1	0.517436401977403	NA	NA	0.571279964751731	NA	0.593108181425476	NA	0.563407017655117
{F793C8C1-C160-4F51-89E7-51AF1E1DC0EF}	2019-08-16 11:59:59	14:21	ANO0003	ANO0003_66	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	sol	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	98.1	NA	NA	30	25	0	5	NA	NA	NA	NA	NA	NA	V1-C-5	Åpen jordvannsmyr	svært og temmelig kalkfattige myrkanter	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	Vanskelig å si om det er grunnlendt lyngmark eller myr som gror igjen. Litt myrflate, v1c1, inforbi	NA	0	0	80	3	10	NA	NA	NA	NA	NA	NA	0	NA	All bjørka er veldig lav, mellom 4 og 5 meter.	14:32	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/f793c8c1-c160-4f51-89e7-51af1e1dc0ef	linvas_miljodirektoratet	2019-10-20 14:35:32	linvas_miljodirektoratet	2019-10-20 14:35:32	V1	NA	0.877040079401265	0.490664479971699	NA	0.42915796942775	NA	0.786852510658346	NA
{CD5636F5-9E69-42C9-AA98-AED79C5438DA}	2019-08-15 11:59:59	14:57	ANO0003	ANO0003_22	20940006559500	ANO	https://nedlasting.miljodirektoratet.no/naturovervaking/ano_instruks.pdf	2019	Ole Einar Butli Hårstad	Miljødirektoratet, VAL/VMK	nedbør	vaatmark	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	100	100	0	7	NA	NA	NA	NA	NA	NA	V1-C-1	Åpen jordvannsmyr	svært og temmelig kalkfattige myrflater	NA	NA	NA	NA	1	1	NA	1	0	0	nei	NA	NA	NA	0	0	0.1	1	0	NA	NA	NA	NA	NA	NA	0	NA	Litt klokkelyng	14:05	https://nin-felles-test.miljodirektoratet.no/api/Overvaking/list/cd5636f5-9e69-42c9-aa98-aed79c5438da	linvas_miljodirektoratet	2019-10-20 14:36:11	linvas_miljodirektoratet	2019-10-20 14:36:11	V1	0.683719610547325	NA	NA	0.902233705883364	0.211407073835677	NA	NA	0.865203336801332
